,List of Invertebrates,Range of Invertebrates,Exotic,id
0,Non-exotic terrestrial gastropods (garden slugs from Riverside County),Riverside County,No,20180022
1,"D. melanogaster, Ae. aegypti, An. gambiae (A. coluzzii), Cx. p. quinquefasciatus, An. stephensi, B. tabaci, S. frugiperda, P. xylostella, H.","Orders diptera, Lepidoptera, Hemiptera","I have import permits from APHIS for P. xylostealla and S. frugiperda although both exist in California. A, gambiae/coluzzii and A. stephensi do not exist in California.",2018003501
2,"Various Drosophila species, Aedes aegypti, Anopheles gambiae, Culex quinquefasciatus, Musca domestica",All local,,20180046
3,Drosophila melanogaster,ubiquitous,no,20180023
4,Drosophila melanogaster; Aedes aegypti,includes California,,2017002301
5,"Drosophila, Aedes aegypti, Heliothis virescens",All found in California,No,20180048
6,C. elegans,,,20170034
7,E coli,,,20170034
8,"Meloidogyne incognita, Melodogyne javanica",plant parasites with a wide host range,,20170032
9,"Macrosiphum euphorbiase, Myzus persicae, Aphis craccivora",All three aphids have wide host range.,,20170032
10,"Mosquitoes (Culex, Aedes, and Anopheles spp)",Mosquitoes,,2019000401
11,"species of the genus Caenorhabditis, including C. elegans, C. briggsae, C. brenneri, C. japonica, C. remanei and other unnamed Caenorhabditis species, as well as Pristionchus pacificus",found in soil or decaying fruits throughout the world,no,20170026
12,Steinernema carpocapsae,"Used for biocontrol by gardeners, can infect insects.",,20170026
13,Megachile rotundata,Cosmopolitan in the US,"Introduced from Europe in the 1940s, now ubiquitous.",20170047
14,Apis mellifera,Cosmopolitan,Introduced from Europe on the mayflower.,20170047
15,Halictidae,Native to the US and California,No,20170047
16,Megachilidae,Native to the US and California,No,20170047
17,Bombus spp.,California native,No,20170047
18,Bombus impatiens,Eastern US,"No, but we have CDFA permit no. 3174 for this eastern bumble bee species and follow strict containment protocols (wire screens on all vents, double doors, double containment, UV bug zapper in room in the unlikely event of escapees).",20170047
19,"nippostrongylus, trichuris",tropical and subtropical,,2018005301
20,"trichinella, heligmosomoides",tropical and subtropical,,2018005301
21,"Drosophila, Anopheles, Aedes, Culex",,,2018000401
22,Musca Domestica (housefly),,,2018000401
23,"Aedes aegypti, Drosophila melanogaster, Ahopheles gambiae.",Diptera,,20190013
24,False root-knot nematode - Nacobbus aberrans,Global range in temperate to semi-tropical areas,Nacobbus aberrans,20180001
25,"Root-knot nematodes - Meloidogyne incognita, M. hapla, M. javanica",Global range in warm temperate and tropical areas,,20180001
26,B. tabaci B,It has a relatively wide dicot host range,This pest is located across the world,20170018
