,List of Plants,Exotic,id
0,"Arabidopsis thaliana, Zea mays, Oryza sativa, Nicotiana tabaccum",none,20170016
1,"Medicago truncatula, Nicotiana benthamiana",,20170016
2,"Triticum aestivum (bread wheat), Solanum lycopersicum (tomato), Solanum pennelii (a wild tomato)",Solanum pennelii is from S. America,20170016
3,phyB-GFP line - transgenic Arabidopsis overexpressing phytochrome B fused to GFP,,20190012
4,HMR-HA line - transgenic line expressing HEMERA (a light signaling component) fused with a HA tag.,,20190012
5,HMS-HA line - transgenic line expressing HERMES (a light signaling component) fused with a HA tag,,20190012
6,CAB1p:Luc lines - a series of transgenic lines expressing a series of truncation fragments of the CAB1 promoter fused with the luciferase reporter.,,20190012
7,Transgenic tobacco lines expressing HEMERA and HEMERA varients in Nicotiana tabacum cv . Petit Havana,,20190012
8,Arabidopsis thaliana,,20190039
9,Nicotiana benthamiana,,20190039
10,rice,,20190039
11,soybean,,20190039
12,maize,,20190039
13,Arabidopsis thaliana,,20190041
14,Physcomitrella patens (moss),,20190041
15,Maize,,20190041
16,"Rice, turf grass (lolium)",,20190041
17,Nicotiana tabaccum Solanum lycopersicum,,20190041
18,Soybean (Glycine max),,20190041
19,Eragrsotis tef (Teff),,20190041
20,Triticum aestivum,,20190041
21,"Citrus sp., Poncirus x Citrus hybrids",,20190041
22,Setaria viridis,,20190041
23,Hemp,,20190041
24,"Nicotiana tabacum, Nicotiana benthamiana, Arabidopsis thaliana, and Solanum lycopersicum",,20190017
25,Arabidopsis thaliana,,20190040
26,"Rice, citrus, corn",,20190040
27,Tobacco,,20190040
28,Citrus,,20190040
29,Arabidopsis thaliana,,20180051
30,Tobacco,,20180051
31,Arabidopsis thaliana,,20180020
32,Nicotiana benthamiana,,20180020
33,Arabidopsis thaliana,Arabidopsis transformed with Agrobacterium,20160080
34,"Tobacco, Arabidopsis",,2017002501
35,maize,,2017002501
36,ARABIDOPSIS,,20190033
37,Arabidopsis thaliana,,20190033
38,,Agrobacterium,20190033
39,"N. tobacum, N. benthamiana, tomato, potato, Arabidopsis",,2019002101
40,"Tomato (Solanum lycopersium) , Arabidopsis thaliana and cowpea (Vigna unguiculata)",,20170032
41,Nicotiana benthamiana,,20170032
42,Arabidopsis,,20180049
43,Zea mays,,20180049
44,"Cestrum, Datura",,20180028
45,"tomato, desert tobacco",,20180028
46,Nicotiana benthamina,No,20180041
47,Arabidopsis thaliana,No,20180041
48,soybean (Glycine max),No,20180041
49,citrus,No,20180041
50,"Solanum tuberosum (potato), Solanum lycopersicum (tomato), Nicotiana benthamiana, and Arabidopsis thaliana",,20180021
51,Avocado,,20180021
52,"Arabidopsis thaliana, Nicotiana benthamiana, tomato, cowpea",,20190020
53,"Physcomitrella patens (a moss), Nicotiana tabacum (tobacco)",,20170019
54,"Arabidopsis thaliana, Nicotiana tabacum, Oryza sativa",none,20190037
55,"Arabidopsis, tomato, tobacco and rice",,20170037
56,Canola,,20170037
57,potato,,20170037
58,Leafy Spurge (Euphorbia escula),,20170037
59,cowpea,,20170037
60,Maize,,20170037
61,Maize and Arabidopsis,,20170012
62,cowpea,,20180001
63,"Solanum esculentum (tomato), Arabidopsis thaliana",No,2018005401
64,"Citrus paradisi (grapefruit), Citrus sinensis (sweet orange), Citrus reticulata (mandarin), Citrus x limon (lemon), Poncirus trifoliata (trifoliate orange), various hybrids of these species",No,2018005401
65,Citrus aurantifolia (Mexican lime),No,2018005401
66,Arabidopsis thaliana,,2018001901
67,Arabidopsis thaliana,,20170009
68,Oryza sativa (rice),,20170009
69,"Nicotiana benthamiana, Solanum lycopersicum (tomato), Brachypodium distachyon, Zea mays (maize)",,20170009
70,Vigna unguiculata (cowpea),,20170009
71,"tomato, tobacco, citrus",,20190008
72,Arabidopsis thaliana,,20170018
73,Nicotiana tabacum,,20170018
74,Solanum lycopersicum,,20170018
75,Nicotiana benthamiana,,20170018
76,Medicago sativum,,20170018
77,Manihot esculentum,,20170018
